product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,user_id,user_name
B0814P4L98,"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey",Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,351,999,65%,4,"5,380",AFY43URPP4H2YAU54BXZXHAA4PFA,Sachin Ramola
B008QTK47Q,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",1614,1745,8%,4.3,"37,974",AF7IXQKBUL6NEIQG4R53LMJJUGXQ,Neeraj Vishwakarma
B088ZTJT2R,Havells Immersion HB15 1500 Watt (White Blue),"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",719,1295,44%,4.2,"17,218",AGEBUO6CQ3XQHSSH3PUT2M3VRIIA,L B
B0BK1K598K,"AGARO LR2007 Lint Remover, Rechargeable, for Woolen Sweaters, Blankets, Jackets, Burr Remover, Pill Remover From Carpets, Curtains","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",678,1499,55%,4.2,900,AHHR537KLQY7CNKPQSL3SFUGQFYQ,Nirupma Kumari
B09Y5FZK9N,"Pigeon 1.5 litre Hot Kettle and Stainless Steel Water Bottle Combo used for boiling Water, Making Tea and Coffee, Instant Noodles, Soup, 1500 Watt with Auto Shut- off Feature - (Silver)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,809,1545,48%,3.7,976,AHFT3PEI64SYXMAXBJMISWFPD72A,Amresh Tiwari
B09J2SCVQT,NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jars 2 Blades),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,1969,5000,61%,4.1,"4,927",AFBHLRTSYYAZ2IGMVF2BNV6ZPG3A,dharshnaselvan
B00TDD0YM4,"Philips GC026/30 Fabric Shaver, Lint Remover for Woolen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Curtains (White)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",1490,1695,12%,4.4,"3,543",AF46TGPPTX6KI5LAMPWQUT2FWGAA,manmeet gupta
B078KRFWQB,"Havells Cista Room Heater, White, 2000 Watts","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",2499,3945,37%,3.8,"2,732",AE7ZYKK6AN7B2Y7ACR7JHJW236LA,Vipin Arora
B07SRM58TP,"AGARO Regal 800 Watts Handheld Vacuum Cleaner, Lightweight & Durable Body, Small/Mini Size ( Black)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",1665,2099,21%,4,"14,368",AF23KL3IJO4DTXNR7B6VYLGMPPOA,Rajesh kumar
B00EDJJ7FS,Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,3229,5295,39%,4.2,"39,724",AFVKRRAFQOO6G7UIAK6H44N3AHUQ,Icu
B0832W3B7Q,Pigeon By Stovekraft ABS Plastic Acer Plus Induction Cooktop 1800 Watts With Feather Touch Control - Black,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,1799,3595,50%,3.8,"9,791",AGI226GQCKRT4Z3EB3IW3VTJRT6A,Arun siddharth jr
